private_predicate,private_uri,wikidata_property,property_label,property_description,confidence,matched,match_reason
do_in,http://example.org/webdatamining/property/doIn,,,,0.0,False,no_meaningful_tokens
dominate,http://example.org/webdatamining/property/dominate,,,,0.0,False,weak_match
drive,http://example.org/webdatamining/property/drive,,,,0.3,False,"search_token,description_overlap"
earn,http://example.org/webdatamining/property/earn,,,,0.3,False,"search_token,description_overlap"
enlist,http://example.org/webdatamining/property/enlist,,,,0.0,False,weak_match
enlist_in,http://example.org/webdatamining/property/enlistIn,,,,0.0,False,weak_match
excel,http://example.org/webdatamining/property/excel,,,,0.0,False,weak_match
excel_in,http://example.org/webdatamining/property/excelIn,,,,0.0,False,weak_match
exhibit,http://example.org/webdatamining/property/exhibit,,,,0.3,False,"search_token,description_overlap"
exit,http://example.org/webdatamining/property/exit,,,,0.3,False,"search_token,description_overlap"
exit_in,http://example.org/webdatamining/property/exitIn,,,,0.3,False,"search_token,description_overlap"
expect,http://example.org/webdatamining/property/expect,,,,0.3,False,"search_token,description_overlap"
explain,http://example.org/webdatamining/property/explain,,,,0.65,False,"token_overlap,search_token,description_overlap"
explore,http://example.org/webdatamining/property/explore,,,,0.3,False,"search_token,description_overlap"
fail,http://example.org/webdatamining/property/fail,,,,0.0,False,weak_match
fault,http://example.org/webdatamining/property/fault,http://www.wikidata.org/entity/P5095,fault,geological faults involved in the event,0.99,True,"exact_label,search_token,description_overlap"
film,http://example.org/webdatamining/property/film,,,,0.65,False,"token_overlap,search_token,description_overlap"
focus,http://example.org/webdatamining/property/focus,,,,0.55,False,"token_overlap,search_token"
follow,http://example.org/webdatamining/property/follow,,,,0.3,False,"search_token,description_overlap"
follow_with,http://example.org/webdatamining/property/followWith,,,,0.3,False,"search_token,description_overlap"
found_in,http://example.org/webdatamining/property/foundIn,,,,0.65,False,"token_overlap,search_token,description_overlap"
give,http://example.org/webdatamining/property/give,,,,0.3,False,"search_token,description_overlap"
give_in,http://example.org/webdatamining/property/giveIn,,,,0.3,False,"search_token,description_overlap"
gross,http://example.org/webdatamining/property/gross,,,,0.55,False,"token_overlap,search_token"
gross_by,http://example.org/webdatamining/property/grossBy,,,,0.375,False,"token_overlap,search_token"
gross_in,http://example.org/webdatamining/property/grossIn,,,,0.475,False,"token_overlap,search_token,description_overlap"
have,http://example.org/webdatamining/property/have,,,,0.0,False,no_meaningful_tokens
have_at,http://example.org/webdatamining/property/haveAt,,,,0.0,False,no_meaningful_tokens
helm,http://example.org/webdatamining/property/helm,,,,0.0,False,weak_match
help,http://example.org/webdatamining/property/help,,,,0.0,False,weak_match
hold,http://example.org/webdatamining/property/hold,,,,0.3,False,"search_token,description_overlap"
hold_at,http://example.org/webdatamining/property/holdAt,,,,0.3,False,"search_token,description_overlap"
honor,http://example.org/webdatamining/property/honor,,,,0.65,False,"token_overlap,search_token,description_overlap"
include,http://example.org/webdatamining/property/include,,,,0.0,False,weak_match
influence,http://example.org/webdatamining/property/influence,,,,0.3,False,"search_token,description_overlap"
initiate,http://example.org/webdatamining/property/initiate,,,,0.0,False,weak_match
initiate_in,http://example.org/webdatamining/property/initiateIn,,,,0.0,False,weak_match
intersperse,http://example.org/webdatamining/property/intersperse,,,,0.0,False,weak_match
introduce,http://example.org/webdatamining/property/introduce,,,,0.3,False,"search_token,description_overlap"
know,http://example.org/webdatamining/property/know,,,,0.65,False,"token_overlap,search_token,description_overlap"
lead,http://example.org/webdatamining/property/lead,,,,0.3,False,"search_token,description_overlap"
lean,http://example.org/webdatamining/property/lean,,,,0.3,False,"search_token,description_overlap"
leave,http://example.org/webdatamining/property/leave,,,,0.2,False,search_token
look_like,http://example.org/webdatamining/property/lookLike,,,,0.3,False,"search_token,description_overlap"
maintain,http://example.org/webdatamining/property/maintain,,,,0.3,False,"search_token,description_overlap"
mark,http://example.org/webdatamining/property/mark,,,,0.65,False,"token_overlap,search_token,description_overlap"
move,http://example.org/webdatamining/property/move,,,,0.3,False,"search_token,description_overlap"
nominate,http://example.org/webdatamining/property/nominate,,,,0.3,False,"search_token,description_overlap"
note,http://example.org/webdatamining/property/note,,,,0.65,False,"token_overlap,search_token,description_overlap"
open,http://example.org/webdatamining/property/open,,,,0.65,False,"token_overlap,search_token,description_overlap"
oppenheimer,http://example.org/webdatamining/property/oppenheimer,,,,0.0,False,weak_match
oppose_in,http://example.org/webdatamining/property/opposeIn,,,,0.0,False,weak_match
originate,http://example.org/webdatamining/property/originate,,,,0.0,False,weak_match
pitch,http://example.org/webdatamining/property/pitch,,,,0.65,False,"token_overlap,search_token,description_overlap"
plan,http://example.org/webdatamining/property/plan,,,,0.3,False,"search_token,description_overlap"
praise,http://example.org/webdatamining/property/praise,,,,0.0,False,weak_match
present,http://example.org/webdatamining/property/present,,,,0.65,False,"token_overlap,search_token,description_overlap"
present_in,http://example.org/webdatamining/property/presentIn,,,,0.65,False,"token_overlap,search_token,description_overlap"
present_with,http://example.org/webdatamining/property/presentWith,,,,0.475,False,"token_overlap,search_token,description_overlap"
print,http://example.org/webdatamining/property/print,,,,0.65,False,"token_overlap,search_token,description_overlap"
produce,http://example.org/webdatamining/property/produce,,,,0.3,False,"search_token,description_overlap"
raise,http://example.org/webdatamining/property/raise,,,,0.0,False,weak_match
rank,http://example.org/webdatamining/property/rank,,,,0.65,False,"token_overlap,search_token,description_overlap"
reach,http://example.org/webdatamining/property/reach,,,,0.3,False,"search_token,description_overlap"
receive,http://example.org/webdatamining/property/receive,,,,0.3,False,"search_token,description_overlap"
reduce,http://example.org/webdatamining/property/reduce,,,,0.0,False,weak_match
refer,http://example.org/webdatamining/property/refer,,,,0.3,False,"search_token,description_overlap"
release,http://example.org/webdatamining/property/release,,,,0.65,False,"token_overlap,search_token,description_overlap"
release_in,http://example.org/webdatamining/property/releaseIn,,,,0.475,False,"token_overlap,search_token,description_overlap"
require,http://example.org/webdatamining/property/require,,,,0.3,False,"search_token,description_overlap"
reroute,http://example.org/webdatamining/property/reroute,,,,0.0,False,weak_match
rescue,http://example.org/webdatamining/property/rescue,,,,0.0,False,weak_match
resign,http://example.org/webdatamining/property/resign,,,,0.3,False,"search_token,description_overlap"
resign_in,http://example.org/webdatamining/property/resignIn,,,,0.3,False,"search_token,description_overlap"
retire,http://example.org/webdatamining/property/retire,,,,0.3,False,"search_token,description_overlap"
retire_from,http://example.org/webdatamining/property/retireFrom,,,,0.3,False,"search_token,description_overlap"
retire_in,http://example.org/webdatamining/property/retireIn,,,,0.3,False,"search_token,description_overlap"
run,http://example.org/webdatamining/property/run,,,,0.65,False,"token_overlap,search_token,description_overlap"
sail,http://example.org/webdatamining/property/sail,,,,0.65,False,"token_overlap,search_token,description_overlap"
separate_from,http://example.org/webdatamining/property/separateFrom,,,,0.475,False,"token_overlap,search_token,description_overlap"
serve,http://example.org/webdatamining/property/serve,,,,0.3,False,"search_token,description_overlap"
serve_to,http://example.org/webdatamining/property/serveTo,,,,0.375,False,"token_overlap,search_token"
set,http://example.org/webdatamining/property/set,,,,0.65,False,"token_overlap,search_token,description_overlap"
side,http://example.org/webdatamining/property/side,,,,0.65,False,"token_overlap,search_token,description_overlap"
sign,http://example.org/webdatamining/property/sign,,,,0.65,False,"token_overlap,search_token,description_overlap"
sign_in,http://example.org/webdatamining/property/signIn,,,,0.475,False,"token_overlap,search_token,description_overlap"
star,http://example.org/webdatamining/property/star,,,,0.65,False,"token_overlap,search_token,description_overlap"
stir,http://example.org/webdatamining/property/stir,,,,0.3,False,"search_token,description_overlap"
take,http://example.org/webdatamining/property/take,,,,0.3,False,"search_token,description_overlap"
televise,http://example.org/webdatamining/property/televise,,,,0.0,False,weak_match
televise_in,http://example.org/webdatamining/property/televiseIn,,,,0.0,False,weak_match
tell,http://example.org/webdatamining/property/tell,,,,0.0,False,no_meaningful_tokens
tell_in,http://example.org/webdatamining/property/tellIn,,,,0.0,False,no_meaningful_tokens
tie,http://example.org/webdatamining/property/tie,,,,0.3,False,"search_token,description_overlap"
tweet,http://example.org/webdatamining/property/tweet,,,,0.0,False,weak_match
use,http://example.org/webdatamining/property/use,,,,0.0,False,no_meaningful_tokens
usher,http://example.org/webdatamining/property/usher,,,,0.3,False,"search_token,description_overlap"
vacate,http://example.org/webdatamining/property/vacate,,,,0.0,False,weak_match
vacate_in,http://example.org/webdatamining/property/vacateIn,,,,0.0,False,weak_match
wake,http://example.org/webdatamining/property/wake,,,,0.0,False,weak_match
want,http://example.org/webdatamining/property/want,,,,0.0,False,weak_match
warn,http://example.org/webdatamining/property/warn,,,,0.0,False,weak_match
weave,http://example.org/webdatamining/property/weave,,,,0.0,False,weak_match
win,http://example.org/webdatamining/property/win,,,,0.3,False,"search_token,description_overlap"
win_for,http://example.org/webdatamining/property/winFor,,,,0.3,False,"search_token,description_overlap"
win_in,http://example.org/webdatamining/property/winIn,,,,0.3,False,"search_token,description_overlap"
work,http://example.org/webdatamining/property/work,,,,0.65,False,"token_overlap,search_token,description_overlap"
work_for,http://example.org/webdatamining/property/workFor,,,,0.475,False,"token_overlap,search_token,description_overlap"
work_on,http://example.org/webdatamining/property/workOn,,,,0.475,False,"token_overlap,search_token,description_overlap"
write,http://example.org/webdatamining/property/write,,,,0.3,False,"search_token,description_overlap"
